orcid,name,affiliation,country,url,source,collected_at
0000-0003-4832-9799,Jacqueline Barry,American Ornithological Society,,https://orcid.org/0000-0003-4832-9799,orcid,2025-10-09T13:42:58+00:00
0000-0002-3015-8330,Barry Clark,Armed Forces Communications and Electronics Association,,https://orcid.org/0000-0002-3015-8330,orcid,2025-10-09T13:42:58+00:00
0000-0002-7925-8033,K. L. Barry Fung,Natural Sciences and Engineering Research Council,,https://orcid.org/0000-0002-7925-8033,orcid,2025-10-09T13:42:58+00:00
0000-0002-2060-4800,Gina Depper,Clemson University,,https://orcid.org/0000-0002-2060-4800,orcid,2025-10-09T13:42:58+00:00
0000-0002-9542-6295,Barry Reno,Northern Territory Geological Survey,,https://orcid.org/0000-0002-9542-6295,orcid,2025-10-09T13:42:58+00:00
0009-0003-1509-0061,Barry Ford,Defence R&D Canada,,https://orcid.org/0009-0003-1509-0061,orcid,2025-10-09T13:42:58+00:00
0000-0002-3505-2244,Karen Eppley,American Educational Research Association,,https://orcid.org/0000-0002-3505-2244,orcid,2025-10-09T13:42:58+00:00
0000-0003-0398-3885,Eric Eppley,Capella University,,https://orcid.org/0000-0003-0398-3885,orcid,2025-10-09T13:42:58+00:00
0000-0002-7324-4706,Barry Bunn,The New Zealand Institute for Plant & Food Research Limited,,https://orcid.org/0000-0002-7324-4706,orcid,2025-10-09T13:42:58+00:00
0009-0000-7542-595X,Barry Greene,,,https://orcid.org/0009-0000-7542-595X,orcid,2025-10-09T13:42:58+00:00
0009-0003-9085-0227,Barry Sullivan,Loyola University Chicago,,https://orcid.org/0009-0003-9085-0227,orcid,2025-10-09T13:42:58+00:00
0009-0005-7992-0348,Barry de Groot,University of Groningen,,https://orcid.org/0009-0005-7992-0348,orcid,2025-10-09T13:42:59+00:00
0000-0001-7927-8360,BARRY CHARLWOOD,Editione Editoração Ltda,,https://orcid.org/0000-0001-7927-8360,orcid,2025-10-09T13:42:59+00:00
0000-0002-4360-5902,Barry L. Bentley,Cardiff Metropolitan University,,https://orcid.org/0000-0002-4360-5902,orcid,2025-10-09T13:42:59+00:00
0000-0001-9656-7404,Yolanda Garcia,Ollscoil na Gaillimhe – University of Galway,,https://orcid.org/0000-0001-9656-7404,orcid,2025-10-09T13:42:59+00:00
0000-0002-3733-8721,Johanna Barry,MRC Institute of Hearing Research,,https://orcid.org/0000-0002-3733-8721,orcid,2025-10-09T13:42:59+00:00
0009-0007-7215-2272,Barry L. Wixson Jr Bastion and Wixson,SELF,,https://orcid.org/0009-0007-7215-2272,orcid,2025-10-09T13:42:59+00:00
0009-0007-5042-1558,Simon Barry,Cork University Hospital,,https://orcid.org/0009-0007-5042-1558,orcid,2025-10-09T13:42:59+00:00
0000-0002-4343-8614,Catherine Barry-Ryan,Technological University Dublin,,https://orcid.org/0000-0002-4343-8614,orcid,2025-10-09T13:42:59+00:00
0000-0002-6536-4732,Amanda Eppley,Swarthmore College,,https://orcid.org/0000-0002-6536-4732,orcid,2025-10-09T13:43:00+00:00
0000-0001-6194-7685,Damian Barry,University of Melbourne,,https://orcid.org/0000-0001-6194-7685,orcid,2025-10-09T13:43:00+00:00
0000-0003-2301-853X,Madeline Eppley,Northeastern University,,https://orcid.org/0000-0003-2301-853X,orcid,2025-10-09T13:43:00+00:00
0000-0001-5808-8525,Charles Eppley,Max Planck Institute for the History of Science,,https://orcid.org/0000-0001-5808-8525,orcid,2025-10-09T13:43:00+00:00
0009-0003-8339-1747,FLONA REDWAY,Barry University,,https://orcid.org/0009-0003-8339-1747,orcid,2025-10-09T13:43:00+00:00
0000-0002-7156-4802,Barry Conn,Australasian Systematic Botany Society Inc,,https://orcid.org/0000-0002-7156-4802,orcid,2025-10-09T13:43:00+00:00
0000-0003-3905-392X,Barry Lau,,,https://orcid.org/0000-0003-3905-392X,orcid,2025-10-09T13:43:00+00:00
0009-0002-8074-7691,George Anthony Jackson,California Institute of Technology,,https://orcid.org/0009-0002-8074-7691,orcid,2025-10-09T13:43:00+00:00
0000-0003-2768-3633,Doles Jadotte,Barry University,,https://orcid.org/0000-0003-2768-3633,orcid,2025-10-09T13:43:01+00:00
0000-0002-1120-1284,Hilary Eppley,DePauw University,,https://orcid.org/0000-0002-1120-1284,orcid,2025-10-09T13:43:01+00:00
0000-0002-6767-5171,Jennifer Williams,Barry University,,https://orcid.org/0000-0002-6767-5171,orcid,2025-10-09T13:43:01+00:00
0000-0001-8462-1856,Gloria L. Schaab,Barry University,,https://orcid.org/0000-0001-8462-1856,orcid,2025-10-09T13:43:01+00:00
0009-0005-5186-6917,Vinicius L Ribeiro,Barry University,,https://orcid.org/0009-0005-5186-6917,orcid,2025-10-09T13:43:01+00:00
0000-0003-1456-6948,Timothy Eppley,Michigan State University,,https://orcid.org/0000-0003-1456-6948,orcid,2025-10-09T13:43:01+00:00
0000-0002-2920-9751,Tina Kinsella,Dun Laoghaire Institute of Art Design and Technology,,https://orcid.org/0000-0002-2920-9751,orcid,2025-10-09T13:43:01+00:00
0000-0001-6537-3420,Barry Torch,York University,,https://orcid.org/0000-0001-6537-3420,orcid,2025-10-09T13:43:01+00:00
0000-0001-7374-1924,Barry Cherkas,American Mathematical Society,,https://orcid.org/0000-0001-7374-1924,orcid,2025-10-09T13:43:01+00:00
0000-0001-6853-6838,Tiffany Barry,,,https://orcid.org/0000-0001-6853-6838,orcid,2025-10-09T13:43:01+00:00
0000-0002-3954-7703,Barry L Jackson,,,https://orcid.org/0000-0002-3954-7703,orcid,2025-10-09T13:43:01+00:00
0009-0002-6306-2850,Alexa L. Wright,The Barry Goldwater Scholarship Foundation,,https://orcid.org/0009-0002-6306-2850,orcid,2025-10-09T13:43:02+00:00
0000-0001-7820-9136,Sarah Eppley,California Pacific Medical Center,,https://orcid.org/0000-0001-7820-9136,orcid,2025-10-09T13:43:02+00:00
0000-0002-4533-0084,Barry Trentham,,,https://orcid.org/0000-0002-4533-0084,orcid,2025-10-09T13:43:02+00:00
0009-0003-6013-6719,Geary Eppley,Rice University,,https://orcid.org/0009-0003-6013-6719,orcid,2025-10-09T13:43:02+00:00
0000-0002-2094-9454,Sarah Eppley,Portland State University,,https://orcid.org/0000-0002-2094-9454,orcid,2025-10-09T13:43:02+00:00
0000-0001-5563-4121,Daisy Gonzalez,University of Nebraska Medical Center,,https://orcid.org/0000-0001-5563-4121,orcid,2025-10-09T13:43:02+00:00
0000-0002-3972-3914,Daniel Barry,University of California Davis,,https://orcid.org/0000-0002-3972-3914,orcid,2025-10-09T13:43:02+00:00
0000-0003-3209-8893,"Jandelle L. Mesfin, Ph.D",American Cancer Society,,https://orcid.org/0000-0003-3209-8893,orcid,2025-10-09T13:43:02+00:00
0000-0002-5832-9365,Barry Boyes,Advanced Materials Technology,,https://orcid.org/0000-0002-5832-9365,orcid,2025-10-09T13:43:02+00:00
0000-0003-3920-2139,Barry Logan,Bowdoin College,,https://orcid.org/0000-0003-3920-2139,orcid,2025-10-09T13:43:03+00:00
0000-0002-3843-3990,Barry Flinn,Carleton University,,https://orcid.org/0000-0002-3843-3990,orcid,2025-10-09T13:43:03+00:00
0000-0003-1488-3118,Barry Lambert,Kansas State University,,https://orcid.org/0000-0003-1488-3118,orcid,2025-10-09T13:43:03+00:00
0000-0002-3505-2244,Karen Eppley,American Educational Research Association,,https://orcid.org/0000-0002-3505-2244,orcid,2025-10-09T13:43:03+00:00
0000-0003-0398-3885,Eric Eppley,Capella University,,https://orcid.org/0000-0003-0398-3885,orcid,2025-10-09T13:43:03+00:00
0000-0002-6536-4732,Amanda Eppley,Swarthmore College,,https://orcid.org/0000-0002-6536-4732,orcid,2025-10-09T13:43:04+00:00
0000-0003-2301-853X,Madeline Eppley,Northeastern University,,https://orcid.org/0000-0003-2301-853X,orcid,2025-10-09T13:43:04+00:00
0000-0001-5808-8525,Charles Eppley,Max Planck Institute for the History of Science,,https://orcid.org/0000-0001-5808-8525,orcid,2025-10-09T13:43:04+00:00
0000-0002-1120-1284,Hilary Eppley,DePauw University,,https://orcid.org/0000-0002-1120-1284,orcid,2025-10-09T13:43:04+00:00
0000-0003-1456-6948,Timothy Eppley,Michigan State University,,https://orcid.org/0000-0003-1456-6948,orcid,2025-10-09T13:43:04+00:00
0000-0001-7820-9136,Sarah Eppley,California Pacific Medical Center,,https://orcid.org/0000-0001-7820-9136,orcid,2025-10-09T13:43:04+00:00
0009-0003-6013-6719,Geary Eppley,Rice University,,https://orcid.org/0009-0003-6013-6719,orcid,2025-10-09T13:43:04+00:00
0000-0002-2094-9454,Sarah Eppley,Portland State University,,https://orcid.org/0000-0002-2094-9454,orcid,2025-10-09T13:43:04+00:00
0000-0001-5563-4121,Daisy Gonzalez,University of Nebraska Medical Center,,https://orcid.org/0000-0001-5563-4121,orcid,2025-10-09T13:43:04+00:00
0000-0002-0260-492X,Jeffrey Eppley,,,https://orcid.org/0000-0002-0260-492X,orcid,2025-10-09T13:43:04+00:00
0000-0003-4968-4872,Parviz Pour,Eppley Institute for Research in Cancer,,https://orcid.org/0000-0003-4968-4872,orcid,2025-10-09T13:43:04+00:00
0000-0002-2863-9688,Elizabeth Eppley None,,,https://orcid.org/0000-0002-2863-9688,orcid,2025-10-09T13:43:05+00:00
0000-0003-0809-6492,Jayden Eppley,,,https://orcid.org/0000-0003-0809-6492,orcid,2025-10-09T13:43:05+00:00
0000-0001-5334-1704,John Eppley,DOE Joint Genome Institute,,https://orcid.org/0000-0001-5334-1704,orcid,2025-10-09T13:43:05+00:00
0000-0003-4459-7235,Kirsten Eberle,Iowa State University,,https://orcid.org/0000-0003-4459-7235,orcid,2025-10-09T13:43:05+00:00
0000-0003-0285-8919,Jianyou Gu,Eppley Institute for Research in Cancer,,https://orcid.org/0000-0003-0285-8919,orcid,2025-10-09T13:43:05+00:00
0000-0003-2167-2183,Amy Wells,Concordia University,,https://orcid.org/0000-0003-2167-2183,orcid,2025-10-09T13:43:05+00:00
0000-0003-2176-5734,Anna Chan,American Association for Cancer Research,,https://orcid.org/0000-0003-2176-5734,orcid,2025-10-09T13:43:05+00:00
0000-0002-5457-5526,Jason Porta,Purdue University West Lafayette,,https://orcid.org/0000-0002-5457-5526,orcid,2025-10-09T13:43:05+00:00
0000-0002-2737-5027,Beáta Scholtz,Eppley Institute for Research in Cancer,,https://orcid.org/0000-0002-2737-5027,orcid,2025-10-09T13:43:05+00:00
0000-0003-2081-3327,Ryan King,American Association for Cancer Research,,https://orcid.org/0000-0003-2081-3327,orcid,2025-10-09T13:43:05+00:00
0000-0001-5297-0330,Barry Johnston,International Energy Agency,,https://orcid.org/0000-0001-5297-0330,orcid,2025-10-09T13:43:05+00:00
0000-0003-0962-3362,Barry Smyth,University College Dublin,,https://orcid.org/0000-0003-0962-3362,orcid,2025-10-09T13:43:05+00:00
0000-0003-4193-0733,Garland Michael Upchurch,University of Nebraska Medical Center,,https://orcid.org/0000-0003-4193-0733,orcid,2025-10-09T13:43:06+00:00
0009-0000-4333-6485,Sarah Dharmaji,University of Nebraska Medical Center,,https://orcid.org/0009-0000-4333-6485,orcid,2025-10-09T13:43:06+00:00
0000-0001-6800-0814,Margaret Taylor,University of Nebraska Medical Center,,https://orcid.org/0000-0001-6800-0814,orcid,2025-10-09T13:43:06+00:00
0009-0002-2218-1474,Aiah Nour,University of Nebraska Medical Center,,https://orcid.org/0009-0002-2218-1474,orcid,2025-10-09T13:43:06+00:00
0000-0002-0978-306X,Suyong Choi,University of Nebraska Medical Cent,,https://orcid.org/0000-0002-0978-306X,orcid,2025-10-09T13:43:06+00:00
0009-0001-6016-4950,David Kelly,University of Nebraska Medical Center,,https://orcid.org/0009-0001-6016-4950,orcid,2025-10-09T13:43:06+00:00
0009-0009-2482-5422,Aleata Triplett,University of Nebraska Medical Center,,https://orcid.org/0009-0009-2482-5422,orcid,2025-10-09T13:43:06+00:00
0000-0002-6897-5678,Fabio Barry,American University of Rome,,https://orcid.org/0000-0002-6897-5678,orcid,2025-10-09T13:43:06+00:00
0000-0002-4611-6768,Barry J Plant,,,https://orcid.org/0000-0002-4611-6768,orcid,2025-10-09T13:43:07+00:00
0000-0002-1869-0172,Thomas Barry,,,https://orcid.org/0000-0002-1869-0172,orcid,2025-10-09T13:43:07+00:00
0000-0001-5701-6140,Sinead Barry,Australasian Menopause Society,,https://orcid.org/0000-0001-5701-6140,orcid,2025-10-09T13:43:07+00:00
0000-0003-4832-9799,Jacqueline Barry,American Ornithological Society,,https://orcid.org/0000-0003-4832-9799,orcid,2025-10-09T13:43:07+00:00
0000-0003-3226-6041,Barry Dean Wellborn,Poway High School,,https://orcid.org/0000-0003-3226-6041,orcid,2025-10-09T13:43:07+00:00
0000-0002-3015-8330,Barry Clark,Armed Forces Communications and Electronics Association,,https://orcid.org/0000-0002-3015-8330,orcid,2025-10-09T13:43:07+00:00
0000-0001-6853-6838,Tiffany Barry,,,https://orcid.org/0000-0001-6853-6838,orcid,2025-10-09T13:43:07+00:00
0000-0001-6135-9349,Henry Barry,Cabin Creek Health Center,,https://orcid.org/0000-0001-6135-9349,orcid,2025-10-09T13:43:07+00:00
0000-0002-4226-5299,Frank Barry,Trinity College Dublin,,https://orcid.org/0000-0002-4226-5299,orcid,2025-10-09T13:43:07+00:00
0000-0001-8478-3548,Barry Reay,Marsden Fund,,https://orcid.org/0000-0001-8478-3548,orcid,2025-10-09T13:43:08+00:00
0000-0002-1083-3466,Barry Mc Carron,Belfast Metropolitan College,,https://orcid.org/0000-0002-1083-3466,orcid,2025-10-09T13:43:08+00:00
0009-0003-4319-4909,Michelle Barry None,ACEP,,https://orcid.org/0009-0003-4319-4909,orcid,2025-10-09T13:43:08+00:00
0000-0003-1026-9495,Barry Fraser,,,https://orcid.org/0000-0003-1026-9495,orcid,2025-10-09T13:43:08+00:00
0000-0002-2394-4384,Barry Barton,University of Waikato,,https://orcid.org/0000-0002-2394-4384,orcid,2025-10-09T13:43:08+00:00
0000-0002-7585-5332,Barry McGaw,Australian Council for Educational Research,,https://orcid.org/0000-0002-7585-5332,orcid,2025-10-09T13:43:08+00:00
0000-0002-8519-1453,Barry Fagan,Alabama Board of Licensure for Professional Engineers and Land Surveyors,,https://orcid.org/0000-0002-8519-1453,orcid,2025-10-09T13:43:09+00:00
0000-0001-6734-7680,Barry Morkel,AEON/ESSRI (Nelson Mandela University),,https://orcid.org/0000-0001-6734-7680,orcid,2025-10-09T13:43:09+00:00
0000-0002-3505-2244,Karen Eppley,American Educational Research Association,,https://orcid.org/0000-0002-3505-2244,orcid,2025-10-09T13:43:09+00:00
0000-0003-0398-3885,Eric Eppley,Capella University,,https://orcid.org/0000-0003-0398-3885,orcid,2025-10-09T13:43:09+00:00
0000-0002-6536-4732,Amanda Eppley,Swarthmore College,,https://orcid.org/0000-0002-6536-4732,orcid,2025-10-09T13:43:09+00:00
0000-0003-2301-853X,Madeline Eppley,Northeastern University,,https://orcid.org/0000-0003-2301-853X,orcid,2025-10-09T13:43:09+00:00
0000-0001-5808-8525,Charles Eppley,Max Planck Institute for the History of Science,,https://orcid.org/0000-0001-5808-8525,orcid,2025-10-09T13:43:10+00:00
0000-0002-1120-1284,Hilary Eppley,DePauw University,,https://orcid.org/0000-0002-1120-1284,orcid,2025-10-09T13:43:10+00:00
0000-0003-1456-6948,Timothy Eppley,Michigan State University,,https://orcid.org/0000-0003-1456-6948,orcid,2025-10-09T13:43:10+00:00
0000-0001-7820-9136,Sarah Eppley,California Pacific Medical Center,,https://orcid.org/0000-0001-7820-9136,orcid,2025-10-09T13:43:10+00:00
0009-0003-6013-6719,Geary Eppley,Rice University,,https://orcid.org/0009-0003-6013-6719,orcid,2025-10-09T13:43:10+00:00
0000-0002-2094-9454,Sarah Eppley,Portland State University,,https://orcid.org/0000-0002-2094-9454,orcid,2025-10-09T13:43:10+00:00
0000-0001-5563-4121,Daisy Gonzalez,University of Nebraska Medical Center,,https://orcid.org/0000-0001-5563-4121,orcid,2025-10-09T13:43:10+00:00
0000-0002-0260-492X,Jeffrey Eppley,,,https://orcid.org/0000-0002-0260-492X,orcid,2025-10-09T13:43:10+00:00
0000-0003-4968-4872,Parviz Pour,Eppley Institute for Research in Cancer,,https://orcid.org/0000-0003-4968-4872,orcid,2025-10-09T13:43:10+00:00
0000-0002-2863-9688,Elizabeth Eppley None,,,https://orcid.org/0000-0002-2863-9688,orcid,2025-10-09T13:43:10+00:00
0000-0003-0809-6492,Jayden Eppley,,,https://orcid.org/0000-0003-0809-6492,orcid,2025-10-09T13:43:10+00:00
0000-0001-5334-1704,John Eppley,DOE Joint Genome Institute,,https://orcid.org/0000-0001-5334-1704,orcid,2025-10-09T13:43:10+00:00
0000-0003-4459-7235,Kirsten Eberle,Iowa State University,,https://orcid.org/0000-0003-4459-7235,orcid,2025-10-09T13:43:11+00:00
0000-0003-0285-8919,Jianyou Gu,Eppley Institute for Research in Cancer,,https://orcid.org/0000-0003-0285-8919,orcid,2025-10-09T13:43:11+00:00
0000-0003-2167-2183,Amy Wells,Concordia University,,https://orcid.org/0000-0003-2167-2183,orcid,2025-10-09T13:43:11+00:00
0000-0003-2176-5734,Anna Chan,American Association for Cancer Research,,https://orcid.org/0000-0003-2176-5734,orcid,2025-10-09T13:43:11+00:00
0000-0002-5457-5526,Jason Porta,Purdue University West Lafayette,,https://orcid.org/0000-0002-5457-5526,orcid,2025-10-09T13:43:11+00:00
0000-0002-2737-5027,Beáta Scholtz,Eppley Institute for Research in Cancer,,https://orcid.org/0000-0002-2737-5027,orcid,2025-10-09T13:43:11+00:00
0000-0003-2081-3327,Ryan King,American Association for Cancer Research,,https://orcid.org/0000-0003-2081-3327,orcid,2025-10-09T13:43:11+00:00
0000-0003-4193-0733,Garland Michael Upchurch,University of Nebraska Medical Center,,https://orcid.org/0000-0003-4193-0733,orcid,2025-10-09T13:43:11+00:00
0009-0000-4333-6485,Sarah Dharmaji,University of Nebraska Medical Center,,https://orcid.org/0009-0000-4333-6485,orcid,2025-10-09T13:43:11+00:00
0000-0001-6800-0814,Margaret Taylor,University of Nebraska Medical Center,,https://orcid.org/0000-0001-6800-0814,orcid,2025-10-09T13:43:11+00:00
0009-0002-2218-1474,Aiah Nour,University of Nebraska Medical Center,,https://orcid.org/0009-0002-2218-1474,orcid,2025-10-09T13:43:11+00:00
0000-0002-0978-306X,Suyong Choi,University of Nebraska Medical Cent,,https://orcid.org/0000-0002-0978-306X,orcid,2025-10-09T13:43:12+00:00
0009-0001-6016-4950,David Kelly,University of Nebraska Medical Center,,https://orcid.org/0009-0001-6016-4950,orcid,2025-10-09T13:43:12+00:00
0009-0009-2482-5422,Aleata Triplett,University of Nebraska Medical Center,,https://orcid.org/0009-0009-2482-5422,orcid,2025-10-09T13:43:12+00:00
0000-0002-2413-5124,Ayrianne Crawford,University of Nebraska Medica Center,,https://orcid.org/0000-0002-2413-5124,orcid,2025-10-09T13:43:12+00:00
0000-0003-0476-7316,Roger Brown,University of Nebraska Medical Center,,https://orcid.org/0000-0003-0476-7316,orcid,2025-10-09T13:43:12+00:00
0000-0002-2060-4800,Gina Depper,Clemson University,,https://orcid.org/0000-0002-2060-4800,orcid,2025-10-09T13:43:12+00:00
0000-0002-8745-128X,Jacob Contreras,University of Nebraska Medical Center,,https://orcid.org/0000-0002-8745-128X,orcid,2025-10-09T13:43:12+00:00
0000-0002-0457-2829,Frank Vignola,American Solar Energy Society Inc,,https://orcid.org/0000-0002-0457-2829,orcid,2025-10-09T13:43:12+00:00
0009-0001-1113-0631,Hannah King,Oral Roberts University,,https://orcid.org/0009-0001-1113-0631,orcid,2025-10-09T13:43:12+00:00
0000-0001-6601-7700,Valeria Glazunova,Blokhin Cancer Center,,https://orcid.org/0000-0001-6601-7700,orcid,2025-10-09T13:43:12+00:00
0000-0001-7041-0943,XUANXUAN XING,Ohio State University,,https://orcid.org/0000-0001-7041-0943,orcid,2025-10-09T13:43:12+00:00
0000-0003-0220-8975,Haley Peters,Nebraska Wesleyan University,,https://orcid.org/0000-0003-0220-8975,orcid,2025-10-09T13:43:12+00:00
0000-0002-4410-1327,Nigar Babayeva,University of Nebraska Medical Center,,https://orcid.org/0000-0002-4410-1327,orcid,2025-10-09T13:43:13+00:00
0009-0008-6851-8013,Alexa M. Barber,University of Nebraska Medical Center,,https://orcid.org/0009-0008-6851-8013,orcid,2025-10-09T13:43:13+00:00
0000-0003-0257-0704,Charles Kendall Rutledge,,,https://orcid.org/0000-0003-0257-0704,orcid,2025-10-09T13:43:13+00:00
0000-0001-8834-0293,Kaitlin Dailey,American Association for Cancer Research,,https://orcid.org/0000-0001-8834-0293,orcid,2025-10-09T13:43:13+00:00
0000-0002-8107-6263,Irina Vaysertreyger,Saint Petersburg State University,,https://orcid.org/0000-0002-8107-6263,orcid,2025-10-09T13:43:13+00:00
0000-0002-9243-4062,Tony Mertz,University of Nebraska Medical Center,,https://orcid.org/0000-0002-9243-4062,orcid,2025-10-09T13:43:13+00:00
0000-0001-9628-8114,Kristine Hoagstrom,Nebraska Wesleyan University,,https://orcid.org/0000-0001-9628-8114,orcid,2025-10-09T13:43:13+00:00
0000-0002-4547-4942,Rachel Hynes-Smith,Brigham Young University,,https://orcid.org/0000-0002-4547-4942,orcid,2025-10-09T13:43:13+00:00
0000-0003-2750-6741,Dylan Jochum,American Association For Cancer Research,,https://orcid.org/0000-0003-2750-6741,orcid,2025-10-09T13:43:13+00:00
0000-0002-0256-6855,Bernhard Wälchli,Stockholms Universitet,,https://orcid.org/0000-0002-0256-6855,orcid,2025-10-09T13:43:13+00:00
0000-0001-9522-061X,Malina Stoycheva,Bulgarian Academy of Sciences,,https://orcid.org/0000-0001-9522-061X,orcid,2025-10-09T13:43:13+00:00
